Gin Blossoms,New Miserable Experience,181
Good Charlotte,Good Charlotte,184
Good Charlotte,The Young and the Hopeless,184
Grateful Dead,American Beauty,188
Grateful Dead,Blues for Allah,188
Grateful Dead,From the Mars Hotel,188
Grateful Dead,Workingman's Dead,188
Great White,Great White,189
Great White,Hooked,189
Great White,Once Bitten,189
Green Day,21st Century Breakdown,190
Green Day,American Idiot,190
Green Day,Dookie,190
Green Day,Nimrod,190
Green Day,Revolution Radio,190
Gregg Allman,Southern Blood,191
Guns N Roses,Appetite for Destruction,192
Harry Nilsson,Nilsson Schmilsson,198
Heart,Heart,199
Hot Tuna,Burgers,204
Hot Tuna,Hot Tuna,204
Hot Tuna,Yellow Fever / Hoppkorv,204
Humble Pie,Smokin',206
Iggy Pop,American Caesar,207
Iggy Pop,Après,207
Iggy Pop,Beat Em Up,207
Iggy Pop,Brick By Brick,207
Iggy Pop,Lust For Life,207
Iggy Pop,New Values,207
Iggy Pop,Préliminaires,207
Iggy Pop,The Idiot,207
Iggy Pop & James Williamson,Kill City,208
Iggy & The Stooges,?Ready to Die,209
INXS,Kick,215
INXS,Listen Like Thieves,215
INXS,X,215
Irma Thomas,After the Rain,216
Irma Thomas,My Heart's in Memphis: The Songs of Dan Penn,216
Irma Thomas,Simply Grand,216
Irma Thomas,Sweet Soul Queen of New Orleans: Collection,216
Irma Thomas,The New Rules,216
Irma Thomas,The Story of My Life,216
Irma Thomas,Time is on My Side,216
Irma Thomas,Wish Someone Would Care,216
Iron Butterfly,Heavy,218
Iron Butterfly,In-A-Gadda-Da-Vida,218
Iron Maiden,The Number of the Beast,219
It's A Beautiful Day,It's A Beautiful Day,220
It's A Beautiful Day,Marrying Maiden,220
Jack Bruce,Songs for a Tailor,222
Jackson Browne,Running On Empty,224
James Brown,The 50th Anniversary Collection,226
James Gang,Rides Again,228
Jay-Z,The Black Album,230
Jefferson Airplane,After Bathing at Baxter's,233
Jefferson Airplane,Surrealistic Pillow,233
Jefferson Airplane,Volunteers,233
Jefferson Starship,Blows Against The Empire,234
Jimi Hendrix,Kiss The Sky,241
Jimi Hendrix,Machine Gun - The Fillmore East First Show 12.31.1969,241
Jimi Hendrix,Valleys Of Neptune,241
Jimmy Dawkins Band,Blisterstring,247
Jimmy Dawkins,Blues From Iceland,248
Joan Jett & The Blackhearts,Fit To Be Tied,250
Joan Jett & The Blackhearts,I Love Rock N Roll,250
Joan Jett & The Blackhearts,Pure And Simple,250
Joan Jett & The Blackhearts,The Hit List,250
Joe Satriani,Joe Satriani,252
John Cougar,American Fool,253
John Mellencamp,Whenever We Wanted,254
John Mellencamp,The Lonesome Jubilee,254
John Mellencamp,John Mellencamp,254
John Entwistle,Smash Your Head Against The Wall,255
John Fogerty,Blue Moon Swamp,256
John Fogerty,Legacy,256
John Fogerty,Revival,256
John Lee Hooker,Graveyard Blues,257
John Mayall & the Bluesbreakers,Blues Breakers With Eric Clapton,258
John Mayall,The Turning Point,259
Josh Smith and The Frost,Too Damn Cold,262
Judas Priest,British Steel,263
Judas Priest,Screaming For Vengeance,263
Keb' Mo',Keb' Mo',269
Keb' Mo',Slow Down,269
Kiss,Greatest Kiss,270
Ko & The Knockouts,Ko & The Knockouts,271
Koko Taylor,Queen of the Blues,272
L7,Smell The Magic,274
Larkin Poe,Peach,275
Larkin Poe,Reskinned,275
Larkin Poe,Venom & Faith,275
LeAnn Rimes,Blue,278
Led Zeppelin,Led Zeppelin,279
Led Zeppelin,Led Zeppelin II,279
Led Zeppelin,Led Zeppelin III,279
Led Zeppelin,Led Zeppelin IV,279
Lene Lovich,Stateless... Plus,280
Lenny Kravitz,5,281
Lenny Kravitz,Lenny,281
LeRoux,Louisiana's Leroux,282
Leslie West,Mountain,283
Lewis Black,Rules of Enragement,284
Linda Ronstadt,"Greatest Hits, Vol. 1 & 2",321
Lit,A Place in the Sun,326
Lita Ford,Lita,327
Lita Ford,Stiletto,327
little hurricane,Homewrecker,328
little hurricane,Same Sun Same Moon,328
Little Steven Van Zandt,Born Again Savage,329
Little Steven Van Zandt,Summer Of Sorcery Live! At The Beacon Theatre,329
Live,Throwing Copper,331
Los Lobos,How Will the Wolf Survive,332
Los Lobos,Just Another Band From East L.A.,332
Los Lobos,Kiko,332
Love,Love,333
Lucinda Williams,Car Wheels On A Gravel Road,334
Lukas Nelson and Promise of the Real,Promise of the Real,335
Lynyrd Skynyrd,Legend,336
Lynyrd Skynyrd,Nuthin' Fancy,336
Lynyrd Skynyrd,One More From The Road,336
Lynyrd Skynyrd,Street Survivors - Remaster,336
Lynyrd Skynyrd,Street Survivors,336
Lynyrd Skynyrd,The Last Rebel,336
Manfred Mann,Best of the 60's,337
Manfred Mann,Sixties Jukebox Classics,337
Mannheim Steamroller,Fresh Aire 7,338
Marc Broussard,Home (The Dockside Sessions),339
Marcy Playground,Marcy Playground,340
Marianne Faithfull,Marianne Faithfull,341
Maroon 5,1.22.03.Acoustic,343
Maroon 5,Songs About Jane,343
Marvin Gaye,What’s Going On,344
Matchbox Twenty,Yourself or Someone Like You,346
Metallica,Ride The Lightning,350
Michael Nesmith,Infinite Rider On The Big Dogma,351
